 0.000000000e+00  0.000000000e+00
 8.981566900e-03  9.405703201e-05
 1.795921647e-02  3.761619088e-04
 2.692858367e-02  8.461564025e-04
 3.588553101e-02  1.503849432e-03
 4.482593810e-02  2.348803371e-03
 5.374567987e-02  3.380648487e-03
 6.264066333e-02  4.598778543e-03
 7.150681767e-02  6.002416199e-03
 8.034005537e-02  7.590913200e-03
 8.913628887e-02  9.363621290e-03
 9.789150578e-02  1.131955230e-02
 1.066017726e-01  1.345736122e-02
 1.152630798e-01  1.577604689e-02
 1.238714172e-01  1.827461131e-02
 1.324228389e-01  2.095186625e-02
 1.409135600e-01  2.380614662e-02
 1.493397465e-01  2.683593335e-02
 1.576975916e-01  3.003962671e-02
 1.659833200e-01  3.341553298e-02
 1.741931885e-01  3.696186456e-02
 1.823234987e-01  4.067674649e-02
 1.903707001e-01  4.455826816e-02
 1.983312409e-01  4.860440850e-02
 2.062015941e-01  5.281304882e-02
 2.139782759e-01  5.718198247e-02
 2.216578464e-01  6.170891477e-02
 2.292369097e-01  6.639146356e-02
 2.367122215e-01  7.122723709e-02
 2.440806090e-01  7.621377579e-02
 2.513388991e-01  8.134850039e-02
 2.584839740e-01  8.662875209e-02
 2.655127715e-01  9.205179260e-02
 2.724222842e-01  9.761480414e-02
 2.792096069e-01  1.033149375e-01
 2.858719935e-01  1.091493706e-01
 2.924066889e-01  1.151151362e-01
 2.988110002e-01  1.212091944e-01
 3.050823008e-01  1.274284370e-01
 3.112180298e-01  1.337696875e-01
 3.172157032e-01  1.402297167e-01
 3.230730009e-01  1.468053753e-01
 3.287876387e-01  1.534933998e-01
 3.343573897e-01  1.602904451e-01
 3.397801015e-01  1.671931104e-01
 3.450536961e-01  1.741979392e-01
 3.501761704e-01  1.813014200e-01
 3.551456481e-01  1.885001088e-01
 3.599603430e-01  1.957905427e-01
 3.646185210e-01  2.031691505e-01
 3.691185284e-01  2.106323190e-01
 3.734587917e-01  2.181763931e-01
 3.776378178e-01  2.257976755e-01
 3.816542068e-01  2.334924846e-01
 3.855066698e-01  2.412572332e-01
 3.891939798e-01  2.490882099e-01
 3.927149916e-01  2.569816692e-01
 3.960686439e-01  2.649338374e-01
 3.992539584e-01  2.729409130e-01
 4.022700411e-01  2.809990822e-01
 4.051160887e-01  2.891046633e-01
